case_id,dataset_name,agent_mode,tags,protocol_completed,execution_success,answer_grounded,result_correct,failure_kind,termination_reason,first_execution_success,repair_succeeded,total_llm_turns,total_tool_calls,total_sql_executions,invalid_tool_calls,repeated_tool_calls,unsafe_sql_count,total_duration_ms,final_sql,final_answer,actual_tool_sequence,error_message
fsq_c06,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""medium""]",False,True,False,False,semantic_mismatch,max_steps_reached,True,,5,5,1,0,0,0,4981.001183390617,"SELECT categories.category_name, COUNT(DISTINCT place_categories.fsq_place_id) as count FROM places JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id JOIN categories ON place_categories.category_id = categories.category_id GROUP BY categories.category_name ORDER BY count DESC LIMIT 10;",,"[""inspect_schema"", ""inspect_schema"", ""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_s05,fsq_shanghai_business_v2,function-calling,"[""single_table"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,4754.484936594963,"SELECT MAX(longitude) AS max_longitude, MIN(longitude) AS min_longitude, MAX(latitude) AS max_latitude, MIN(latitude) AS min_latitude FROM places;","根据查询结果，这些地点覆盖的最西、最东、最南和最北坐标分别是：

- 最西坐标（最小经度）：120.895815
- 最东坐标（最大经度）：121.977995
- 最南坐标（最小纬度）：30.696284
- 最北坐标（最大纬度）：31.89192933242098","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_d02,fsq_shanghai_business_v2,function-calling,"[""district"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,6634.642243385315,"SELECT canonical_district, COUNT(DISTINCT places.fsq_place_id) AS place_count
FROM places
JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id
JOIN categories ON place_categories.category_id = categories.category_id
WHERE places.canonical_district IS NOT NULL
AND places.tel IS NOT NULL
GROUP BY canonical_district
ORDER BY place_count DESC
LIMIT 5;","在能够明确识别所属行政区的地点中，留有联系电话的地点主要集中于以下五个区：

1. **浦东新区** - 2620个地点
2. **徐汇区** - 2250个地点
3. **长宁区** - 2009个地点
4. **黄浦区** - 1986个地点
5. **静安区** - 680个地点","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_a01,fsq_shanghai_business_v2,function-calling,"[""aggregate_topk"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,4996.386215090752,"SELECT locality, COUNT(*) as count FROM places WHERE canonical_district IS NULL AND locality IS NOT NULL GROUP BY locality ORDER BY count DESC LIMIT 10;","原始城市或区县标注中，出现次数最多的十个名称（省级区域标注不计入）如下：

1. Shanghai - 43110
2. 上海市 - 449
3. shanghai - 380
4. 上海 - 240
5. Shanghai, Shanghai Shi - 66
6. Shanghai, China - 47
7. 上海市 | Shanghai - 36
8. SHANGHAI - 34
9. Zhabei - 27
10. Chongming Island - 22","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_a06,fsq_shanghai_business_v2,function-calling,"[""aggregate_topk"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,4454.496935009956,"SELECT strftime('%Y', date_closed) AS closed_year, COUNT(*) AS closed_count FROM places WHERE date_closed IS NOT NULL GROUP BY closed_year ORDER BY closed_year DESC LIMIT 5;","已经关闭的地点主要集中于以下五个关闭年份：

1. 2025年：2241个地点
2. 2024年：260个地点
3. 2026年：374个地点
4. 2023年：95个地点
5. 2022年：190个地点","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_d01,fsq_shanghai_business_v2,function-calling,"[""district"", ""medium""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,5735.198110342026,"SELECT canonical_district, COUNT(*) as count FROM places WHERE canonical_district IS NOT NULL GROUP BY canonical_district ORDER BY count DESC LIMIT 10;","在能够明确识别所属行政区的地点中，收录地点最多的前十名行政区如下：

1. **Pudong** - 14569个地点
2. **Changning** - 9284个地点
3. **Xuhui** - 9054个地点
4. **Huangpu** - 7229个地点
5. **Jing'an** - 1705个地点
6. **Minhang** - 1624个地点
7. **Putuo** - 782个地点
8. **Hongkou** - 564个地点
9. **Yangpu** - 520个地点
10. **Chongming** - 232个地点","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_a04,fsq_shanghai_business_v2,function-calling,"[""aggregate_topk"", ""medium""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,4521.407350897789,"SELECT strftime('%Y', date_created) AS creation_year, COUNT(*) AS place_count FROM places GROUP BY creation_year ORDER BY place_count DESC LIMIT 5;","按创建年份看，新增地点最多的五年分别是：

1. 2012年：12,077个地点
2. 2011年：11,696个地点
3. 2013年：9,817个地点
4. 2010年：8,756个地点
5. 2016年：5,777个地点","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_q03,fsq_shanghai_business_v2,function-calling,"[""quality"", ""medium""]",True,True,True,True,,completed,True,,3,2,1,0,0,0,2235.0381910800934,"SELECT date_refreshed, COUNT(DISTINCT fsq_place_id) as place_count FROM places GROUP BY date_refreshed ORDER BY date_refreshed DESC LIMIT 1;",最近一次刷新发生在 **2026-07-08**，当天更新了 **280** 个地点。,"[""inspect_schema"", ""execute_sql""]",
fsq_c02,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,5327.872321009636,"SELECT categories.category_name, COUNT(DISTINCT places.fsq_place_id) as place_count
FROM places
JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id
JOIN categories ON place_categories.category_id = categories.category_id
WHERE places.canonical_district = '浦东'
GROUP BY categories.category_name
ORDER BY place_count DESC
LIMIT 5;",根据现有数据，浦东最常见的五种地点类型没有返回任何结果。这可能意味着在浦东地区没有足够的数据或某些数据未被正确分类。建议检查数据源或进一步细化查询条件。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_c03,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,4806.83408677578,"SELECT categories.category_name, COUNT(DISTINCT places.fsq_place_id) as place_count
FROM places
JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id
JOIN categories ON place_categories.category_id = categories.category_id
WHERE places.canonical_district = '徐汇'
GROUP BY categories.category_name
ORDER BY place_count DESC
LIMIT 5;",徐汇最常见的五种地点类型没有找到相关数据。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_a03,fsq_shanghai_business_v2,function-calling,"[""aggregate_topk"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,5411.896631121635,"SELECT postcode, COUNT(*) as place_count FROM places GROUP BY postcode ORDER BY place_count DESC LIMIT 10;","根据查询结果，地点最集中的十个邮政编码如下：

1. 无邮政编码：60715处
2. 200000：18477处
3. 200120：982处
4. 200030：763处
5. 200031：682处
6. 200051：638处
7. 200040：586处
8. 200021：486处
9. 200085：478处
10. 200025：385处","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_s02,fsq_shanghai_business_v2,function-calling,"[""single_table"", ""easy""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,2243.259370326996,SELECT COUNT(*) FROM places WHERE website IS NOT NULL AND website != '';,"有官方网站的地点共有10,451家。","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_a08,fsq_shanghai_business_v2,function-calling,"[""aggregate_topk"", ""easy""]",True,True,True,True,,completed,False,True,4,3,2,0,0,0,6336.844578385353,"SELECT places.name, places.date_refreshed FROM places ORDER BY places.date_refreshed DESC, places.name ASC LIMIT 10","最近更新的十个地点如下：

1. 13De Marzo Café - 2026-07-08
2. 18-19号站台 - 2026-07-08
3. AMAM Lonbakery Town - 2026-07-08
4. APOLI ITA BAKERY - 2026-07-08
5. Amam Lonbakery Town - 2026-07-08
6. Arch Walk Mall (金虹桥商场) - 2026-07-08
7. BURBERRY - 2026-07-08
8. Baker & Spice - 2026-07-08
9. Baker & Spice - 2026-07-08
10. Beiqiao - 2026-07-08","[""execute_sql"", ""inspect_schema"", ""execute_sql""]",
fsq_d03,fsq_shanghai_business_v2,function-calling,"[""district"", ""hard""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,5470.636695623398,"SELECT canonical_district, COUNT(DISTINCT places.fsq_place_id) AS coffee_shop_count
FROM places
JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id
JOIN categories ON place_categories.category_id = categories.category_id
WHERE categories.category_name = 'Coffee Shop' AND places.canonical_district IS NOT NULL
GROUP BY canonical_district
ORDER BY coffee_shop_count DESC
LIMIT 1;",在能够明确识别所属行政区的地点中，**Pudong** 区的咖啡店最多，共有 **464 家**。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_a07,fsq_shanghai_business_v2,function-calling,"[""aggregate_topk"", ""hard""]",False,True,False,False,semantic_mismatch,max_steps_reached,True,,5,5,2,0,0,0,3601.511061191559,SELECT COUNT(*) AS only_website FROM places WHERE website IS NOT NULL AND tel IS NULL;,,"[""inspect_schema"", ""validate_sql"", ""execute_sql"", ""validate_sql"", ""execute_sql""]",
fsq_q02,fsq_shanghai_business_v2,function-calling,"[""quality"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,5,4,1,0,0,0,4164.388597011566,"SELECT flag, COUNT(DISTINCT fsq_place_id) as place_count FROM place_unresolved_flags GROUP BY flag;","各类数据质量标记影响的地点数量如下：

- **closed**: 88 个地点
- **doesnt_exist**: 3 个地点
- **duplicate**: 391 个地点
- **inappropriate**: 1 个地点
- **privatevenue**: 2 个地点","[""inspect_schema"", ""inspect_schema"", ""validate_sql"", ""execute_sql""]",
